avrdude - 5.8-1
base-files - 117-r36088
blkid - 2.21.2-1
block-mount - 0.2.0-9
busybox - 1.19.4-6
chat - 2.4.5-8
comgt - 0.32-21
coreutils - 8.16-1
coreutils-stty - 8.16-1
dnsmasq - 2.62-2
dropbear - 2011.54-2
firewall - 2-55.1
hotplug2 - 1.0-beta-4
huaweiaktbbo - 1
iptables - 1.4.10-4
iw - 3.6-1
jshn - 2013-01-29-0bc317aa4d9af44806c28ca286d79a8b5a92b2b8
kernel - 3.3.8-1-d6597ebf6203328d3519ea3c3371a493
kmod-ath - 3.3.8+2012-09-07-3
kmod-ath9k - 3.3.8+2012-09-07-3
kmod-ath9k-common - 3.3.8+2012-09-07-3
kmod-atm - 3.3.8-1
kmod-cfg80211 - 3.3.8+2012-09-07-3
kmod-crypto-aes - 3.3.8-1
kmod-crypto-arc4 - 3.3.8-1
kmod-crypto-core - 3.3.8-1
kmod-fs-ext4 - 3.3.8-1
kmod-fuse - 3.3.8-1
kmod-gpio-button-hotplug - 3.3.8-1
kmod-input-core - 3.3.8-1
kmod-input-evdev - 3.3.8-1
kmod-ipt-conntrack - 3.3.8-1
kmod-ipt-core - 3.3.8-1
kmod-ipt-nat - 3.3.8-1
kmod-ipt-nathelper - 3.3.8-1
kmod-leds-gpio - 3.3.8-1
kmod-ledtrig-default-on - 3.3.8-1
kmod-ledtrig-netdev - 3.3.8-1
kmod-ledtrig-timer - 3.3.8-1
kmod-ledtrig-usbdev - 3.3.8-1
kmod-lib-crc-ccitt - 3.3.8-1
kmod-lib-crc16 - 3.3.8-1
kmod-mac80211 - 3.3.8+2012-09-07-3
kmod-nls-base - 3.3.8-1
kmod-ppp - 3.3.8-1
kmod-pppoe - 3.3.8-1
kmod-pppox - 3.3.8-1
kmod-rfkill - 3.3.8-1
kmod-scsi-core - 3.3.8-1
kmod-scsi-generic - 3.3.8-1
kmod-usb-acm - 3.3.8-1
kmod-usb-atm - 3.3.8-1
kmod-usb-atm-cxacru - 3.3.8-1
kmod-usb-atm-speedtouch - 3.3.8-1
kmod-usb-atm-ueagle - 3.3.8-1
kmod-usb-cm109 - 3.3.8-1
kmod-usb-core - 3.3.8-1
kmod-usb-net - 3.3.8-1
kmod-usb-net-asix - 3.3.8-1
kmod-usb-net-cdc-ether - 3.3.8-1
kmod-usb-net-dm9601-ether - 3.3.8-1
kmod-usb-net-hso - 3.3.8-1
kmod-usb-net-ipheth - 3.3.8-1
kmod-usb-net-kaweth - 3.3.8-1
kmod-usb-net-mcs7830 - 3.3.8-1
kmod-usb-net-pegasus - 3.3.8-1
kmod-usb-net-rndis - 3.3.8-1
kmod-usb-net-sierrawireless - 3.3.8-1
kmod-usb-ohci - 3.3.8-1
kmod-usb-serial - 3.3.8-1
kmod-usb-serial-ark3116 - 3.3.8-1
kmod-usb-serial-belkin - 3.3.8-1
kmod-usb-serial-ch341 - 3.3.8-1
kmod-usb-serial-cp210x - 3.3.8-1
kmod-usb-serial-cypress-m8 - 3.3.8-1
kmod-usb-serial-ftdi - 3.3.8-1
kmod-usb-serial-ipw - 3.3.8-1
kmod-usb-serial-keyspan - 3.3.8-1
kmod-usb-serial-mct - 3.3.8-1
kmod-usb-serial-mos7720 - 3.3.8-1
kmod-usb-serial-motorola-phone - 3.3.8-1
kmod-usb-serial-option - 3.3.8-1
kmod-usb-serial-oti6858 - 3.3.8-1
kmod-usb-serial-pl2303 - 3.3.8-1
kmod-usb-serial-qualcomm - 3.3.8-1
kmod-usb-serial-sierrawireless - 3.3.8-1
